sequence	name	database	reference	lineage	category	closestmatch	identity	coverage	quality	description	
../tmpSS.mfa	OQ333051.1	Rotavirus A	VP3	𝝀.86	Known lineage	OQ333051.1	100.0	96.0	Excellent		
../tmpSS.mfa	OQ596318.1	Rotavirus A	VP3	𝝀.2.1	Known lineage	OQ596318.1	100.0	98.85	Excellent		
../tmpSS.mfa	OQ603390.1	Rotavirus A	VP3	𝝀.22.1	Known lineage	OQ603390.1	100.0	99.42	Excellent		
../tmpSS.mfa	OQ807042.1	Rotavirus A	VP3	𝝀.22.2	Known lineage	OQ807042.1	100.0	96.39	Excellent		
../tmpSS.mfa	OR187594.1	Rotavirus A	VP3	𝝀.9.2	Known lineage	OR187594.1	100.0	99.31	Excellent		
../tmpSS.mfa	NC_011508.2	Rotavirus A	VP3	𝝀.15	Known lineage	NC_011508.2	100.0	99.58	Excellent		
../tmpSS.mfa	LC727978.1	Rotavirus A	VP3	𝝀.1.33	Known lineage	LC727978.1	100.0	99.5	Excellent		
../tmpSS.mfa	OR125126.1	Rotavirus A	VP3	𝝀.1.4	Known lineage	OR125126.1	100.0	98.04	Excellent		
../tmpSS.mfa	LC727727.1	Rotavirus A	VP3	𝝀.1.8	Known lineage	LC727727.1	100.0	98.92	Excellent		
../tmpSS.mfa	OP924557.1	Rotavirus A	VP3	𝝀.9.2	Known lineage	OP924557.1	100.0	99.31	Excellent		
../tmpSS.mfa	OQ201451.1	Rotavirus A	VP3	𝝀.1.4	Known lineage	OQ201451.1	100.0	96.12	Excellent		
../tmpSS.mfa	OQ201453.1	Rotavirus A	VP3	𝝀.2.1	Known lineage	OQ201453.1	100.0	96.27	Excellent		
../tmpSS.mfa	OQ201458.1	Rotavirus A	VP3	𝝀.1.4	Known lineage	OQ201458.1	100.0	96.12	Excellent		
../tmpSS.mfa	OQ201452.1	Rotavirus A	VP3	𝝀.2.1	Known lineage	OQ201452.1	100.0	96.27	Excellent		
../tmpSS.mfa	OQ201454.1	Rotavirus A	VP3	𝝀.2.1	Known lineage	OQ201454.1	100.0	96.27	Excellent		
../tmpSS.mfa	OQ201450.1	Rotavirus A	VP3	𝝀.2.1	Known lineage	OQ201450.1	100.0	96.27	Excellent		
../tmpSS.mfa	OQ201455.1	Rotavirus A	VP3	𝝀.2.1	Known lineage	OQ201455.1	100.0	96.27	Excellent		
../tmpSS.mfa	OQ201456.1	Rotavirus A	VP3	𝝀.1.4	Known lineage	OQ201456.1	100.0	96.04	Excellent		
../tmpSS.mfa	OQ201457.1	Rotavirus A	VP3	𝝀.1.4	Known lineage	OQ201457.1	100.0	96.12	Excellent		
../tmpSS.mfa	OQ201459.1	Rotavirus A	VP3	𝝀.1.4	Known lineage	OQ201459.1	100.0	96.12	Excellent		
../tmpSS.mfa	OQ201463.1	Rotavirus A	VP3	𝝀.1.4	Known lineage	OQ201463.1	100.0	96.04	Excellent		
../tmpSS.mfa	OQ201460.1	Rotavirus A	VP3	𝝀.1.4	Known lineage	OQ201460.1	100.0	96.12	Excellent		
../tmpSS.mfa	OQ201462.1	Rotavirus A	VP3	𝝀.2.1	Known lineage	OQ201462.1	100.0	96.27	Excellent		
../tmpSS.mfa	OQ201465.1	Rotavirus A	VP3	𝝀.2.1	Known lineage	OQ201465.1	100.0	96.27	Excellent		
../tmpSS.mfa	OQ201461.1	Rotavirus A	VP3	𝝀.1.4	Known lineage	OQ201461.1	100.0	96.12	Excellent		
../tmpSS.mfa	OQ201468.1	Rotavirus A	VP3	𝝀.1.4	Known lineage	OQ201468.1	100.0	96.12	Excellent		
